data i godzina,cena średnia[zł/MWh]
1.01.2025 00:00:00,10,885
1.01.2025 01:00:00,-2,52
1.01.2025 02:00:00,-14,6525
1.01.2025 03:00:00,-23,09
1.01.2025 04:00:00,-39,5
1.01.2025 05:00:00,-40,29
1.01.2025 06:00:00,-69,585
1.01.2025 07:00:00,-85,6475
1.01.2025 08:00:00,-117,9675
1.01.2025 09:00:00,-215,825
1.01.2025 10:00:00,-272,8725
1.01.2025 11:00:00,-266,315
1.01.2025 12:00:00,-216,97
1.01.2025 13:00:00,-84,665
1.01.2025 14:00:00,-23,7925
1.01.2025 15:00:00,23,7875
1.01.2025 16:00:00,52,3525
1.01.2025 17:00:00,58,7775
1.01.2025 18:00:00,54,7475
1.01.2025 19:00:00,51,0825
1.01.2025 20:00:00,46,235
1.01.2025 21:00:00,27,4375
1.01.2025 22:00:00,18,465
1.01.2025 23:00:00,-9,59
2.01.2025 00:00:00,-53,06
2.01.2025 01:00:00,-47,1425
2.01.2025 02:00:00,-56,805
2.01.2025 03:00:00,-49,2775
2.01.2025 04:00:00,-47,33
2.01.2025 05:00:00,-13,635
2.01.2025 06:00:00,108,5725
2.01.2025 07:00:00,302,53
2.01.2025 08:00:00,399,16
2.01.2025 09:00:00,432,4675
2.01.2025 10:00:00,440,9075
2.01.2025 11:00:00,427,845
2.01.2025 12:00:00,402,5775
2.01.2025 13:00:00,424,6625
2.01.2025 14:00:00,456,7825
2.01.2025 15:00:00,513,9875
2.01.2025 16:00:00,554,65
2.01.2025 17:00:00,593,07
2.01.2025 18:00:00,609,08
2.01.2025 19:00:00,573,045
2.01.2025 20:00:00,538,285
2.01.2025 21:00:00,468,9175
2.01.2025 22:00:00,439,7
2.01.2025 23:00:00,364,3625
3.01.2025 00:00:00,364,245
3.01.2025 01:00:00,325,355
3.01.2025 02:00:00,303,99
3.01.2025 03:00:00,297,205
3.01.2025 04:00:00,268,3475
3.01.2025 05:00:00,296,53
3.01.2025 06:00:00,395,365
3.01.2025 07:00:00,426,27
3.01.2025 08:00:00,455,4925
3.01.2025 09:00:00,455,8725
3.01.2025 10:00:00,400,8175
3.01.2025 11:00:00,356,7725
3.01.2025 12:00:00,359,24
3.01.2025 13:00:00,371,19
3.01.2025 14:00:00,390,53
3.01.2025 15:00:00,416,7325
3.01.2025 16:00:00,451,595
3.01.2025 17:00:00,468,4725
3.01.2025 18:00:00,474,485
3.01.2025 19:00:00,474,6825
3.01.2025 20:00:00,435,0675
3.01.2025 21:00:00,389,93
3.01.2025 22:00:00,379,835
3.01.2025 23:00:00,317,63
4.01.2025 00:00:00,264,61
4.01.2025 01:00:00,266,305
4.01.2025 02:00:00,254,2125
4.01.2025 03:00:00,272,665
4.01.2025 04:00:00,311,04
4.01.2025 05:00:00,356,6625
4.01.2025 06:00:00,410,445
4.01.2025 07:00:00,478,07
4.01.2025 08:00:00,528,185
4.01.2025 09:00:00,551,4325
4.01.2025 10:00:00,541,2075
4.01.2025 11:00:00,527,2525
4.01.2025 12:00:00,526,615
4.01.2025 13:00:00,540,68
4.01.2025 14:00:00,587,49
4.01.2025 15:00:00,721,8675
4.01.2025 16:00:00,669,0775
4.01.2025 17:00:00,650,345
4.01.2025 18:00:00,630,2025
4.01.2025 19:00:00,600,0125
4.01.2025 20:00:00,565,655
4.01.2025 21:00:00,523,7575
4.01.2025 22:00:00,495,9225
4.01.2025 23:00:00,453,955
5.01.2025 00:00:00,438,435
5.01.2025 01:00:00,404,4875
5.01.2025 02:00:00,381,0475
